iter	Passed	Remaining
0	48	48620
1	49	24698
2	50	16624
3	50	12556
4	50	10119
5	51	8483
6	51	7313
7	51	6435
8	52	5756
9	52	5212
10	53	4767
11	53	4397
12	53	4085
13	54	3818
14	54	3589
15	55	3384
16	55	3206
17	55	3046
18	56	2901
19	56	2770
20	56	2652
21	57	2546
22	57	2448
23	58	2359
24	58	2277
25	58	2201
26	59	2130
27	59	2063
28	59	2001
29	60	1945
30	60	1892
31	61	1849
32	61	1802
33	61	1760
34	62	1721
35	62	1682
36	63	1648
37	63	1613
38	64	1579
39	64	1547
40	64	1516
41	65	1486
42	65	1459
43	66	1441
44	66	1418
45	67	1394
46	67	1370
47	67	1346
48	68	1324
49	68	1303
50	68	1283
51	69	1263
52	69	1244
53	69	1226
54	70	1208
55	70	1191
56	71	1175
57	71	1158
58	71	1145
59	72	1131
60	72	1117
61	72	1103
62	73	1089
63	73	1076
64	73	1063
65	74	1051
66	74	1039
67	74	1027
68	75	1019
69	75	1008
70	76	998
71	76	988
72	77	978
73	77	974
74	78	965
75	78	956
76	79	947
77	79	938
78	79	929
79	80	921
80	80	912
81	80	904
82	80	894
83	81	886
84	81	878
85	81	870
86	82	863
87	82	856
88	82	848
89	83	844
90	84	839
91	84	832
92	84	826
93	85	819
94	85	813
95	85	807
96	86	801
97	86	795
98	86	790
99	87	784
100	87	779
101	87	773
102	88	768
103	88	763
104	88	757
105	89	752
106	89	750
107	90	745
108	90	741
109	91	737
110	91	733
111	91	729
112	92	726
113	92	722
114	93	718
115	93	713
116	93	708
117	94	704
118	94	700
119	94	696
120	95	691
121	95	687
122	95	683
123	96	679
124	96	675
125	96	671
126	97	666
127	97	663
128	97	659
129	98	656
130	98	652
131	98	648
132	98	645
133	99	641
134	99	638
135	99	634
136	100	631
137	100	628
138	100	625
139	101	622
140	101	619
141	101	615
142	102	612
143	102	609
144	102	606
145	103	603
146	103	600
147	103	597
148	104	594
149	104	592
150	104	590
151	105	587
152	105	585
153	106	582
154	106	580
155	106	577
156	107	575
157	107	573
158	108	571
159	108	569
160	108	566
161	108	563
162	109	561
163	109	559
164	110	557
165	110	555
166	110	553
167	111	551
168	111	549
169	112	547
170	112	544
171	112	542
172	113	540
173	113	538
174	113	535
175	114	533
176	114	531
177	114	529
178	114	527
179	115	525
180	115	522
181	115	520
182	116	518
183	116	516
184	116	514
185	117	512
186	117	510
187	117	508
188	118	506
189	118	505
190	119	504
191	119	502
192	119	500
193	120	499
194	120	498
195	120	496
196	121	494
197	121	493
198	122	492
199	122	490
200	123	489
201	123	487
202	123	485
203	124	484
204	124	482
205	124	481
206	125	479
207	125	478
208	125	476
209	126	475
210	126	473
211	126	471
212	127	470
213	127	468
214	127	467
215	128	465
216	128	463
217	128	462
218	129	460
219	129	459
220	129	457
221	130	456
222	130	454
223	130	453
224	131	451
225	131	450
226	131	448
227	132	447
228	132	445
229	132	444
230	133	443
231	133	442
232	134	441
233	134	439
234	134	438
235	135	437
236	135	436
237	135	435
238	136	434
239	136	432
240	137	431
241	137	430
242	137	429
243	138	428
244	138	427
245	139	426
246	139	424
247	139	423
248	140	422
249	140	421
250	140	420
251	141	421
252	142	419
253	142	418
254	142	417
255	143	416
256	143	414
257	143	413
258	144	412
259	144	411
260	144	410
261	145	408
262	145	407
263	145	406
264	146	405
265	146	404
266	146	402
267	147	401
268	147	401
269	147	400
270	148	399
271	148	397
272	148	396
273	149	395
274	149	394
275	149	393
276	150	392
277	150	391
278	151	391
279	151	390
280	152	389
281	152	388
282	152	387
283	153	386
284	153	385
285	154	384
286	154	383
287	154	382
288	154	381
289	155	380
290	155	379
291	155	378
292	156	377
293	156	376
294	156	375
295	157	374
296	157	373
297	158	372
298	158	371
299	158	370
300	159	369
301	159	368
302	159	367
303	160	366
304	160	365
305	160	364
306	161	363
307	161	362
308	161	361
309	161	360
310	162	359
311	162	358
312	162	357
313	163	356
314	163	355
315	163	354
316	164	353
317	164	353
318	164	352
319	165	351
320	165	350
321	166	349
322	166	349
323	167	348
324	168	349
325	168	348
326	168	347
327	169	347
328	169	346
329	170	345
330	170	344
331	170	343
332	171	342
333	171	342
334	171	341
335	172	340
336	172	339
337	173	338
338	173	338
339	173	337
340	174	336
341	174	335
342	174	334
343	175	334
344	175	333
345	175	332
